Comment,Designator,Footprint,LCSC Part #
1M,E$1 E$3 E$5 R4 R13 R17 R24 R31 R38 R45 R52 R59 R66 R73 R80 R87 R94 R101 R108,R0402,
1nF,C5 C11 C21 C29 C37 C45 C53 C61 C69 C77 C85 C93 C101 C109 C117 C125,C0402,
1uF,C8 C20 C24 C32 C40 C48 C56 C64 C72 C80 C88 C96 C104 C112 C120 C128,C0402,
10M,R6 R15 R19 R26 R33 R40 R47 R54 R61 R68 R75 R82 R89 R96 R103 R110,R0402,
10k,R5 R14 R18 R25 R32 R39 R46 R53 R60 R67 R74 R81 R88 R95 R102 R109,R0402,
22pF,C1 C2 C9 C10 C14 C15 C25 C26 C33 C34 C41 C42 C49 C50 C57 C58 C65 C66 C73 C74 C81 C82 C89 C90 C97 C98 C105 C106 C113 C114 C121 C122,C0402,
51,R2 R10 R11 R22 R29 R36 R43 R50 R57 R64 R71 R78 R85 R92 R99 R106,R0402,
100,R1 R3 R7 R8 R9 R12 R16 R20 R21 R23 R27 R28 R30 R34 R35 R37 R41 R42 R44 R48 R49 R51 R55 R56 R58 R62 R63 R65 R69 R70 R72 R76 R77 R79 R83 R84 R86 R90 R91 R93 R97 R98 R100 R104 R105 R107 R111 R112,R0402,
100nF,C3 C4 C6 C7 C12 C13 C16 C17 C18 C19 C22 C23 C27 C28 C30 C31 C35 C36 C38 C39 C43 C44 C46 C47 C51 C52 C54 C55 C59 C60 C62 C63 C67 C68 C70 C71 C75 C76 C78 C79 C83 C84 C86 C87 C91 C92 C94 C95 C99 C100 C102 C103 C107 C108 C110 C111 C115 C116 C118 C119 C123 C124 C126 C127,C0402,
ADS1293CISQ/NOPB,U1 U2 U3 U4 U5 U6 U7 U8 U9 U10 U11 U12 U13 U14 U15 U16,RSG28_3P6X3P6_TEX,
C387328 ,U$1 U$2 U$3 U$4 U$5 U$6 U$7 U$8 U$9 U$10 U$11 U$12 U$13 U$14 U$15 U$16,SMD-3225_4P,
LED 0603,L1 L2 L3 L4 L5 L6 L7 L8 L9 L10 L11 L12 L13 L14 L15 L16 L17 L18 L19 L20 L21 L22 L23 L24 L25 L26 L27 L28 L29 L30 L31 L32 L33 L34 L35 L36 L37 L38 L39 L40 L41 L42 L43 L44 L45 L46 L47 L48,CHIP-LED0603,
SN74ALVC08LARGE,AND_IC AND_IC1 AND_IC2 AND_IC3 AND_IC4 AND_IC5 AND_IC6 AND_IC7 AND_IC8 AND_IC9 AND_IC10 AND_IC11 AND_IC12 AND_IC13 AND_IC14 AND_IC15,SN74LVC86ARGYR,
SN74LVC1G132DCKT,NAND_IC NAND_IC1 NAND_IC2 NAND_IC3 NAND_IC4 NAND_IC5 NAND_IC6 NAND_IC7 NAND_IC8 NAND_IC9 NAND_IC10 NAND_IC11 NAND_IC12 NAND_IC13 NAND_IC14 NAND_IC15,SOT65P210X110-5N,
SN74LVC86A,XOR_IC XOR_IC1 XOR_IC2 XOR_IC3 XOR_IC4 XOR_IC5 XOR_IC6 XOR_IC7 XOR_IC8 XOR_IC9 XOR_IC10 XOR_IC11 XOR_IC12 XOR_IC13 XOR_IC14 XOR_IC15,SN74LVC86ARGYR,
XF2J-1824-12,J1 J2 J3 J4 J5 J6 J7 J8 J9 J10 J11 J12 J13 J14 J15 J16 J17 J18 J19 J20 J21 J22 J23 J24 J25 J26 J27 J28 J29 J30 J31 J32,XF2J-1824-12,
