Designator,Mid X,Mid Y,Layer,Rotation
C9,15.70, 7.65,Top,90.0
C10,20.60,16.00,Top,270.0
C11, 8.00,13.55,Top,90.0
C12, 6.70,11.55,Top,270.0
C13,18.40,15.95,Top,270.0
C16,16.00,16.05,Top,270.0
C19,20.45,20.70,Top,180.0
C20,16.00,12.95,Top,90.0
L1,18.80, 1.80,Top,0.0
L2, 3.26,10.30,Top,90.0
R7,17.18, 4.71,Top,0.0
R10,11.90, 7.40,Top,270.0
R11,19.30,12.80,Top,90.0
R12, 2.50,12.50,Top,90.0
R13,13.50, 7.90,Top,0.0
R14, 4.30,13.50,Top,270.0
R15, 5.40,13.50,Top,270.0
S1,19.58, 9.10,Top,90.0
TP1,13.00, 6.60,Top,0.0
TP2, 6.00, 9.00,Top,0.0
TP11, 7.00,16.00,Top,0.0
TP12, 5.00,16.00,Top,0.0
TP19, 6.80,14.00,Top,0.0
TP20, 4.30,11.70,Top,0.0
U$1,22.73,14.55,Top,90.0
U1,11.60,12.70,Top,270.0
X1, 4.41, 7.00,Top,270.0
X2,12.50, 3.61,Top,0.0
X3,12.50,21.39,Top,180.0
